[2026-05-05 15:58:15.166] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.178] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.190] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.203] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.215] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.227] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:15.240] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.252] tag=0x0007  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:58:15.264] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.277] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.295] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:15.307] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:15.319] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.332] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.345] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.356] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.369] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.381] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:15.394] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.406] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.418] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:15.430] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:15.443] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.455] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.467] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.480] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.492] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.504] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.518] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.529] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.542] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:15.555] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.566] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:15.578] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.591] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:15.603] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.616] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.629] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:15.640] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:15.652] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:15.665] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.677] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.689] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:15.702] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:15.714] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:15.726] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.739] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.751] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.763] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:15.776] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:15.789] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.801] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:15.814] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.826] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.837] tag=0x0007  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:58:15.850] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:15.862] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.874] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:15.887] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:15.899] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.912] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.925] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:15.937] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.948] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.961] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.973] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:15.987] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:15.998] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:16.010] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:16.024] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:16.036] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:16.047] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:16.060] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:16.072] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:16.084] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:16.097] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:16.109] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:16.121] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:16.135] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:16.146] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:16.158] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:16.171] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:16.183] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:16.195] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:16.209] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:16.220] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:16.233] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:16.246] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:16.258] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:16.271] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:16.283] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:16.295] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:16.306] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:16.319] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:16.331] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:16.343] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:16.356] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
