[2026-05-05 15:43:33.341] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.353] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.365] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.377] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.390] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.403] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.414] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.426] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.438] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:33.451] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.463] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.475] tag=0x0001  rs= 0  na= 1 | 1008 : 6604
[2026-05-05 15:43:33.491] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:33.499] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.511] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.524] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:33.536] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:33.548] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.560] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.572] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:33.585] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.597] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:33.609] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.621] tag=0x0001  rs= 0  na= 1 | 1008 : 6679
[2026-05-05 15:43:33.633] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.645] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.658] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.670] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.682] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.694] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.706] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.719] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.731] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.743] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.755] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:33.767] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:33.779] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:33.792] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:33.804] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.816] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.828] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.840] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.852] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.865] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.877] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.890] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.901] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.913] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.926] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.938] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.950] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:33.962] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.974] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.986] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.999] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.011] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.023] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.035] tag=0x0001  rs= 0  na= 1 | 1008 : 6679
[2026-05-05 15:43:34.047] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.060] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:34.072] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:34.084] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.096] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.108] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.120] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.133] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.145] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.157] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:34.169] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:34.181] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.194] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.206] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:34.218] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:34.230] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.242] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.254] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.267] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.279] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.291] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:34.303] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.315] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.328] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.340] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.352] tag=0x0001  rs= 0  na= 1 | 1008 : 6698
[2026-05-05 15:43:34.364] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.376] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.389] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:34.401] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.413] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:34.427] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:34.437] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:34.449] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:34.462] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.476] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:34.486] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.498] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.510] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
