[2026-05-05 15:38:16.423] tag=0x0001  rs= 0  na= 1 | 1005 : 6613
[2026-05-05 15:38:16.435] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.447] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.459] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.471] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.484] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.496] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.508] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.521] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.533] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.546] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.558] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.569] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.581] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.593] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:16.605] tag=0x0001  rs= 0  na= 1 | 1005 : 6510
[2026-05-05 15:38:16.618] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:16.630] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.642] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:16.654] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.666] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.679] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.691] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.703] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.715] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.727] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.739] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:16.752] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.766] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.776] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
